status,reason,source,title,begin,end,lat,lng,link
"DROPPED","OUT_OF_WINDOW","mobilize","A Pint of Politics and Doing Something Second Sundays","2025-10-12","2025-10-12","38.5506803","-121.4680831","https://www.mobilize.us/indivisiblesacramento/event/550283/"
"DROPPED","OUT_OF_WINDOW","mobilize","Food Scraps Collection: Larchmont Village Farmers' Market","2025-10-08","2025-10-08","34.0750177","-118.3240038","https://www.mobilize.us/lacompost/event/550519/"
"KEPT","VIRTUAL","mobilize","Who We Are: A Virtual Orientation for New Members","2025-11-12","2025-11-12","","","https://www.mobilize.us/cssjtraining/event/551137/"
"KEPT","VIRTUAL","mobilize","Run Local Training","2025-11-18","2025-11-18","","","https://www.mobilize.us/mainedems/event/551294/"
"DROPPED","OUT_OF_WINDOW","mobilize","Monthly status (zoom) followed by letter/postcard writing on your own","2025-10-14","2025-10-14","39.201384","-76.8374995","https://www.mobilize.us/swingleft/event/552516/"
"DROPPED","OUT_OF_WINDOW","mobilize","Crownsville IN-PERSON letter/postcard writing to Voters with SwingLeftHoCoMD","2025-10-14","2025-10-14","39.0197327","-76.5902677","https://www.mobilize.us/swingleft/event/552524/"
"DROPPED","OUT_OF_WINDOW","mobilize","The 17 Sustainable Development Goals (SDGs)","2025-10-26","2025-10-26","","","https://www.mobilize.us/2020victorious/event/552916/"
"DROPPED","OUT_OF_WINDOW","mobilize","Monthly ACDP Meeting","2025-10-25","2025-10-25","41.0771709","-85.1432369","https://www.mobilize.us/allencountydemocrats/event/552988/"
"KEPT","VIRTUAL","mobilize","Special Presentation: Juneteenth: Faith & Freedom | A Documentary | Communities United","2028-01-01","2028-01-01","","","https://www.mobilize.us/2020victorious/event/553471/"
"DROPPED","OUT_OF_WINDOW","mobilize","Lincoln County Democrats Monthly Meeting-HYBRID","2025-10-23","2025-10-23","44.0301249","-69.5444785","https://www.mobilize.us/mainedemslocal/event/553510/"
"DROPPED","OUT_OF_WINDOW","mobilize","Kent County Democratic Committee Meeting","2025-10-13","2025-10-13","39.1548687","-75.506469","https://www.mobilize.us/deldems/event/553525/"
"DROPPED","OUT_OF_WINDOW","mobilize","City of Wilmington Democratic Committee Meeting","2025-10-27","2025-10-27","39.7459468","-75.546589","https://www.mobilize.us/deldems/event/553531/"
"DROPPED","OUT_OF_WINDOW","mobilize","Postcard Writing at Santa Rosa (Sonoma County) café","2025-10-09","2025-10-09","38.4339542","-122.7147403","https://www.mobilize.us/indivisiblesonomacounty/event/553670/"
"KEPT","GEO","mobilize","Greening Day at Sunset Blvd Gardens (36th Ave and Taraval)","2025-11-23","2025-11-23","37.7422572","-122.493919","https://www.mobilize.us/sanfrancisco/event/554627/"
