date,lat,lng,link_count
2025-06-14,28.9118145,-81.2930153,2
2025-06-14,28.5550512,-81.7661931,2
2025-06-14,37.3564214,-121.8970398,2
2025-06-14,40.7535367,-73.9829529,2
2025-06-21,35.715814,-79.164944,2
2025-06-14,41.8377678,-69.9720857,2
2025-06-13,39.7687106,-86.1628562,2
2025-06-14,42.2627622,-71.8018178,2
2025-06-14,37.7602015,-122.4267959,3
2025-06-19,45.6260684,-122.536305,2
2025-06-14,26.3686592,-80.0767464,2
2025-06-14,40.6724502,-73.9704931,2
2025-06-14,27.3344769,-82.5441888,3
2025-06-14,26.6709194,-80.0554046,2
2025-06-14,42.4492773,-71.2297485,2
2025-06-14,45.8824493,-95.37859,2
2025-06-14,37.4373123,-122.1599774,3
2025-06-14,35.3720568,-119.0180669,2
2025-06-10,41.9567516,-71.133401,2
2025-06-14,38.9879618,-77.0772255,2
2025-06-14,37.4437446,-122.1413291,3
2025-06-14,41.4133098,-73.3091494,2
2025-06-14,28.6257186,-81.3153357,3
2025-06-14,35.977365,-75.639292,2
2025-06-14,45.0099115,-96.196063,2
2025-06-12,40.7246035,-73.9965755,2
2025-06-13,38.2434348,-85.7618555,2
2025-06-14,25.7941896,-80.1357333,2
2025-06-14,43.0642655,-76.1662414,2
2025-06-14,30.1868732,-85.733404,2
2025-06-14,27.5176501,-81.4940242,2
2025-06-14,38.5792994,-92.172829,2
2025-06-14,43.6440446,-72.1433175,2
2025-06-14,38.9770833,-77.3496708,2
2025-06-14,44.1614006,-94.00472,2
2025-06-14,36.5050247,-87.369763,2
2025-06-10,42.9077833,-85.7647041,2
2025-06-14,38.2324831,-122.6369203,2
2025-06-14,36.3083822,-78.5924031,2
2025-06-14,44.4905524,-73.1117772,2
2025-06-14,44.9243173,-89.6515755,2
2025-06-14,28.2060722,-82.6662254,3
2025-06-14,43.1830552,-88.7304355,2
2025-06-14,44.059025,-121.318238,2
2025-06-14,42.2703297,-89.0903409,2
2025-06-10,27.9797788,-82.7920021,2
2025-06-21,35.8558027,-86.3850387,2
2025-06-14,39.9099155,-82.7784356,2
2025-06-14,42.7872987,-86.1087843,2
2025-06-28,45.8978871,-89.6971346,2
2025-06-14,40.5721453,-75.5190832,2
2025-06-14,47.4070894,-122.3253343,2
2025-06-11,39.0576986,-94.5725456,2
2025-06-14,38.2844062,-85.825403,2
2025-06-14,45.131818,-95.0350679,2
2025-06-14,29.3976616,-98.4177424,2
2025-06-14,40.7973896,-73.9667466,2
2025-06-14,39.6131281,-105.0207837,2
2025-06-14,36.8880705,-121.6473912,2
2025-06-28,42.7342299,-90.4798587,2
2025-06-14,44.1084456,-72.0568434,2
2025-06-26,42.1768435,-83.1949857,2
2025-06-18,45.8978871,-89.6971346,2
2025-06-14,26.9620467,-82.3530347,4
2025-06-14,42.4608449,-71.3493342,2
2025-06-17,26.961976,-82.3592901,2
2025-06-14,38.0537217,-122.1557438,2
2025-06-14,61.6029716,-149.111909,2
2025-06-14,38.4234899,-82.4405759,2
2025-06-14,41.571222,-75.255287,2
2025-06-14,33.9572511,-118.3963194,2
2025-06-14,46.132471,-112.9714832,2
2025-06-14,41.0032594,-76.4572356,2
2025-06-14,41.5373803,-75.947399,2
2025-06-14,39.2281092,-77.2866712,2
2025-06-14,40.9640644,-76.8847555,2
2025-06-20,36.1397301,-80.1975261,2
2025-06-10,39.0154378,-94.6024613,2
2025-06-10,27.3031347,-82.5298895,2
2025-06-14,38.7006838,-75.4022767,2
2025-07-19,29.305741,-94.7925912,2
2025-07-06,35.732978,-79.1748477,2
2025-07-17,39.0816821,-77.0449327,2
2025-06-29,34.1983122,-118.3574036,2
2025-06-14,39.5807181,-104.9603497,4
2025-06-28,42.5837266,-87.8197733,2
2025-06-10,42.0660499,-88.0167406,4
2025-06-14,39.5589,-106.1332,2
2025-06-14,45.4871723,-122.80378,2
2025-06-14,43.5934818,-83.8890319,2
2025-06-14,43.9681588,-124.1071748,2
2025-06-14,38.8356345,-104.8209785,2
2025-06-14,49.4118785,8.711541,3
